"territorio","es_ciudad","distrito_codigo","distrito_nombre","fijos_sexo | Total | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo | Total | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo | Total | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo | Hombres | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo | Hombres | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo | Hombres | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo | Mujeres | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo | Mujeres | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo | Mujeres | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Total | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Total | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Total | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Total | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Total | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Total | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Total | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Total | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Total | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Hombres | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Hombres | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Hombres | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Hombres | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Hombres | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Hombres | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Hombres | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Hombres | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Hombres | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Mujeres | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Mujeres | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Mujeres | Tramos de edad Menos de 18 años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Mujeres | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Mujeres | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Mujeres | Tramos de edad De 18 a 64 años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_edad | Mujeres | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_edad | Mujeres | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_edad | Mujeres | Tramos de edad 65 y más años | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_nacionalidad | Total | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_nacionalidad | Total | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_nacionalidad | Total | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_nacionalidad | Total | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_nacionalidad | Total | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_nacionalidad | Total | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_nacionalidad | Hombres | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_nacionalidad | Hombres | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_nacionalidad | Hombres | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_nacionalidad | Hombres | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_nacionalidad | Hombres | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_nacionalidad | Hombres | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_nacionalidad | Mujeres | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_nacionalidad | Mujeres | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_nacionalidad | Mujeres | Nacionalidad Española | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","fijos_sexo_nacionalidad | Mujeres | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 5.000 Euros","fijos_sexo_nacionalidad | Mujeres | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 7.500 Euros","fijos_sexo_nacionalidad | Mujeres | Nacionalidad Extranjera | Población con ingresos por unidad de consumo por debajo de 10.000 Euros","relativos_sexo | Total | Población con ingresos por unidad de consumo por debajo 40% de la mediana","relativos_sexo | Total | Población con ingresos por unidad de consumo por debajo 50% de la mediana","relativos_sexo | Total | Población con ingresos por unidad de consumo por debajo 60% de la mediana","relativos_sexo | Total | Población con ingresos por unidad de consumo por encima 140% de la mediana","relativos_sexo | Total | Población con ingresos por unidad de consumo por encima 160% de la mediana","relativos_sexo | Total | Población con ingresos por unidad de consumo por encima 200% de la mediana","relativos_sexo | Hombres | Población con ingresos por unidad de consumo por debajo 40% de la mediana","relativos_sexo | Hombres | Población con ingresos por unidad de consumo por debajo 50% de la mediana","relativos_sexo | Hombres | Población con ingresos por unidad de consumo por debajo 60% de la mediana","relativos_sexo | Hombres | Población con ingresos por unidad de consumo por encima 140% de la mediana","relativos_sexo | Hombres | Población con ingresos por unidad de consumo por encima 160% de la mediana","relativos_sexo | Hombres | Población con ingresos por unidad de consumo por encima 200% de la mediana","relativos_sexo | Mujeres | Población con ingresos por unidad de consumo por debajo 40% de la mediana","relativos_sexo | Mujeres | Población con ingresos por unidad de consumo por debajo 50% de la mediana","relativos_sexo | Mujeres | Población con ingresos por unidad de consumo por debajo 60% de la mediana","relativos_sexo | Mujeres | Población con ingresos por unidad de consumo por encima 140% de la mediana","relativos_sexo | Mujeres | Población con ingresos por unidad de consumo por encima 160% de la mediana","relativos_sexo | Mujeres | Población con ingresos por unidad de consumo por encima 200% de la mediana"
"Valencia","True","","Valencia","5","9,8","16,1","4,8","9,5","15,6","5,1","10","16,5","7,2","14","22,3","5,6","10,7","17,2","1,6","3,9","8,5","7,2","14","22,3","5,3","10,1","16,2","1,3","3,3","7,9","7,2","14","22,3","6","11,4","18,1","1,8","4,3","8,9","2,8","6,1","11","16,9","29,5","43,2","2,7","5,9","10,6","15,9","28","41,4","2,9","6,3","11,4","17,8","31","45","10,2","15","21","31,5","23,7","13","9,9","14,6","20,2","32,6","24,6","13,7","10,5","15,4","21,7","30,5","22,8","12,4"
"4625001 València distrito 01","False","1","Valencia distrito 01","5,6","8,2","13,1","4,9","7,3","12,6","6,1","9","13,5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8,7","12,5","16","58","50,5","35,3","7,7","11,9","15,9","60,6","52,4","36,8","9,5","13","16,1","55,8","48,8","33,9"
"4625002 València distrito 02","False","2","Valencia distrito 02","2,3","3,4","6,3","2,4","3,5","5,5","2,2","3,4","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3,5","5,9","8,3","63,8","51,9","32,2","3,7","5,3","7,2","67,1","55,1","35,1","3,4","6,3","9,2","61","49,2","29,6"
"4625003 València distrito 03","False","3","Valencia distrito 03","2,8","5,2","7,1","2","4","5,7","3,5","6,2","8,3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5,6","6,8","8,5","55,8","47,8","31,2","4,4","5,4","7,1","57","49,5","32,4","6,7","8","9,6","54,8","46,3","30,2"
"4625004 València distrito 04","False","4","Valencia distrito 04","3","4,2","6,5","3,6","4,7","7,4","2,5","3,8","5,6",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4,4","6,2","8,1","63,1","53,6","36,3","4,8","7","9","62,9","53,5","36,5","3,9","5,4","7,2","63,2","53,8","36,2"
"4625005 València distrito 05","False","5","Valencia distrito 05","6,5","9,1","14,5","6","9,5","14,3","7","8,9","14,8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9,3","13,7","18,9","28,7","20,4","7,4","9,7","13,4","18,2","30,1","20,5","7,4","8,9","13,9","19,5","27,5","20,3","7,4"
"4625006 València distrito 06","False","6","Valencia distrito 06","5","7,2","9,9","5,5","7,5","10,4","4,6","6,9","9,4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7,4","9,6","11,2","57","46,4","27,7","7,8","10,2","11,5","59,5","48,9","29,2","7,1","9,1","10,9","54,8","44,3","26,4"
"4625007 València distrito 07","False","7","Valencia distrito 07","2,6","6,4","13,2","2,3","5,4","12,3","2,8","7,3","14,1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6,7","12,3","16,8","27,4","18,7","8,6","5,7","11,4","15,6","28,5","19,8","9,2","7,5","13,2","18","26,3","17,8","8"
"4625008 València distrito 08","False","8","Valencia distrito 08","2,7","4,6","7,2","1,9","3,5","5,9","3,5","5,7","8,5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4,9","7","10,2","36,8","26,1","12,8","3,7","5,6","8,5","38","27,5","13,3","6,1","8,2","11,8","35,6","24,8","12,4"
"4625009 València distrito 09","False","9","Valencia distrito 09","3,2","5","10,4","2,2","3,9","9,5","4,2","6,1","11,2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5,2","9,4","13,8","28,1","18,9","7,4","4,1","8,6","12,8","29,5","20,9","7,2","6,3","10,2","14,7","26,9","16,9","7,6"
"4625010 València distrito 10","False","10","Valencia distrito 10","6,3","9,1","12,1","6,6","9","12","6","9,2","12,2","8,5","11,8","14,9","5,7","8,1","10,7","3,7","9","16,4","9,6","13,3","16,5","5,5","7,2","9,8","3","7,1","13","6,8","9,4","12,6","5,9","9","11,5","4,4","10,8","19,7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9,5","11,6","13,8","62,7","53,6","33,1","9,3","11,5","13,8","63,6","54,2","34","9,7","11,7","13,9","61,6","53","32,1"
"4625011 València distrito 11","False","11","Valencia distrito 11","3,1","8,1","12,6","2,9","7","10,7","3,2","9,1","14,3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8,2","11,9","19,1","25,5","17,8","9,1","7,1","9,9","16,2","28,5","20,4","10,5","9,1","13,6","21,6","23","15,5","7,9"
"4625012 València distrito 12","False","12","Valencia distrito 12","9,1","11,9","17","9,2","12,1","17,8","9","11,7","16,3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12,4","16,5","19,1","55,7","49,7","35,4","12,5","17,3","19,7","57,2","51,9","36,8","12,2","15,8","18,6","54,2","47,6","34,1"
"4625013 València distrito 13","False","13","Valencia distrito 13","4,3","8,1","11,5","3,6","8,1","11,4","4,8","8,1","11,6",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8,8","10,9","17","31,8","21,9","7,2","8,8","10,8","16,2","32,7","24,4","8,6","8,8","11","17,7","31,1","19,7","6,1"
"4625014 València distrito 14","False","14","Valencia distrito 14","3,1","5,5","6,8","3,9","5,8","6,8","2,4","5,3","6,7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5,6","6,5","8,5","56,3","44,3","29","5,8","6,6","7,8","58","46,9","30,3","5,5","6,4","9","54,9","42,2","27,9"
"4625015 València distrito 15","False","15","Valencia distrito 15","0,8","1,9","3,4","0,2","1","2,6","1,3","2,7","4,1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2,1","3,2","5","60,9","49,8","31,3","1,1","2,4","4,3","61,9","50,5","32,1","3","4","5,6","60,1","49,2","30,6"
"4625016 València distrito 16","False","16","Valencia distrito 16","2,5","5,4","8,6","2,3","4,6","7,3","2,8","6,2","9,8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5,8","8","10,9","38","29,3","13","4,8","6,8","8,8","38,3","29,9","13,7","6,7","9,2","12,9","37,6","28,6","12,4"
"4625017 València distrito 17","False","17","Valencia distrito 17","3","7,4","11,5","2,8","6,8","10,9","3,2","8","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7,6","9,9","19","20","14,3","7,7","7,1","9,4","18","22,5","15,5","7,9","8,1","10,3","20","17,4","13","7,6"
"4625018 València distrito 18","False","18","Valencia distrito 18","5,3","9,4","15,8","4,2","7,9","13","6,4","10,8","18,3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10,1","14,9","21,6","12,6","6,3","1,9","8,1","12,1","18,9","14,4","7,7","2,1","12","17,3","24,1","11","5,1","1,7"
"4625019 València distrito 19","False","19","Valencia distrito 19","4,3","8,4","12,6","3,9","7,6","10,9","4,7","9,2","14,3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8,8","11,6","18,4","35,1","26,9","18","8","10,1","15,7","37,8","29,6","20,6","9,6","13,1","21,1","32,3","24,2","15,2"
